company,website,city,segment,description,revenue,founder,notes
CHEMFE CHEMICALS CORPORATION,,Pune,specialty chemicals,,,,
BHUMI CHEM,,Pune,specialty chemicals,,,,
VIMAL INTERTRAD PVT,,Pune,specialty chemicals,,,,
YASHAM SPECIALITY INGREDIENTS PVT,,Pune,specialty chemicals,,,,
AMIZARA AGENCIES,,Pune,specialty chemicals,,,,
AUM DYES & CHEMICALS PVT,,Pune,specialty chemicals,,,,
CHAMPION SPECIALTY CHEMICALS,,Pune,specialty chemicals,,,,
SOUJANYA COLOR,,Pune,specialty chemicals,,,,
SLN PHARMACHEM,,Pune,specialty chemicals,,,,
ADITYA BIRLA CHEMICALS,,Pune,specialty chemicals,,,,
DAGA GLOBAL CHEMICALS PVT,,Pune,specialty chemicals,,,,
ION EXCHANGE,,Pune,specialty chemicals,,,,
SPRAY FILL  PVT,,Pune,specialty chemicals,,,,
MALLAK,,Pune,specialty chemicals,,,,
DMCC SPECIALITY,,Pune,specialty chemicals,,,,
TELLABS CHEMICALS,,Pune,specialty chemicals,,,,
CAPXIMIZE,,Pune,specialty chemicals,,,,
GUNJAN PAINTS,,Pune,specialty chemicals,,,,
DESIRE CHEMICALS PVT,,Pune,specialty chemicals,,,,
MAHEK ENTERPRISE,,Pune,specialty chemicals,,,,
AMAL RASAYAN,,Pune,specialty chemicals,,,,
A PLUS ENTERPRISES PVT,,Pune,specialty chemicals,,,,
FUTURON SPECIALTY PRODUCTS PVT,,Pune,specialty chemicals,,,,
JAY CHEM MARKETING,,Pune,specialty chemicals,,,,
TECHNITHON TECHNOLOGIES,,Pune,specialty chemicals,,,,
CJS SPECIALITY CHEMICALS PVT,,Pune,specialty chemicals,,,,
LORD CORPORATION,,Pune,specialty chemicals,,,,
EASTMAN CHEMICALS,,Pune,specialty chemicals,,,,
M.Y. TEXTILE AND TRADERS,,Pune,specialty chemicals,,,,
HEXON LABORATORIES PVT,,Pune,specialty chemicals,,,,
SPECTRUM ETHERS,,Pune,specialty chemicals,,,,
IMCD GROUP,,Pune,specialty chemicals,,,,
ENVIRON SPECIALITY CHEMICALS PVT,,Pune,specialty chemicals,,,,
ANKUSH ENTERPRISE,,Pune,specialty chemicals,,,,
ABHIYAN MEDIA PVT,,Pune,specialty chemicals,,,,
INTERNATIONAL AGENCIES,,Pune,specialty chemicals,,,,
MAJORHUB OLEOCHEMICALS,,Pune,specialty chemicals,,,,
PARSHV MARKETING,,Pune,specialty chemicals,,,,
ARIHANT CHEMICAL,,Pune,specialty chemicals,,,,
NAVYUG ACID AND CHEMICAL COMPANY,,Pune,specialty chemicals,,,,
